address,lat,long,nearest_mrt,dist_to_mrt,nearest_prisch,is_<2km_prisch,nearest_top20,is_<2km_top20,time_to_city,nearest_mall,dist_to_mall,dist_to_city
125 BEDOK NTH RD,1.3288432152424,103.939123687022,Tanah Merah,0.8359656009327456,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,37.83333333333333,East Village,0.8555792198546176,10.934953344420457
27 NEW UPP CHANGI RD,1.32412432931247,103.934921045772,Bedok,0.5249256112192425,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,37.96666666666667,Bedok Point,0.2920937664126217,10.284602226610327
419 BEDOK NTH ST 1,1.32696621417456,103.92813577162501,Bedok,0.3968766307404036,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,36.65,Djitsun Mall Bedok,0.1921320253877526,9.757933818036259
204 BEDOK NTH ST 1,1.32635909520618,103.929995919076,Bedok,0.25715680817214465,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,32.93333333333334,Djitsun Mall Bedok,0.0551388416051545,9.907356782041091
104 BEDOK NTH AVE 4,1.3332985212474,103.936601473643,Bedok Reservoir,0.5360292519683643,RED SWASTIKA SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,1,40.35,Bedok Point,1.0503169878961929,10.922845535004045
59 CHAI CHEE RD,1.32488916644196,103.920246730461,Kembangan,0.871864273054876,OPERA ESTATE PRIMARY SCHOOL,1,TAO NAN SCHOOL,0,38.73333333333333,Bedok Mall,1.004021525852499,8.882124615622748
418 BEDOK NTH AVE 2,1.32856421177174,103.930036524233,Bedok,0.5002838802159176,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,37.46666666666667,Djitsun Mall Bedok,0.2817843546833296,10.028863678436933
202 BEDOK NTH ST 1,1.32565628436984,103.92799097538901,Bedok,0.30419537260339075,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,32.81666666666666,Bedok Mall,0.17247146519698284,9.67406686828445
416 BEDOK NTH AVE 2,1.32840382815914,103.93068487034701,Bedok,0.485146352407133,FENGSHAN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,0,37.63333333333333,Djitsun Mall Bedok,0.2863759566263013,10.08312345833011
221B BEDOK CTRL,1.3250004330961498,103.934497810091,Bedok,0.4893361413286589,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,37.4,Bedok Point,0.2362762914497341,10.28446129492926
5 BEDOK STH AVE 2,1.32219157915726,103.93439926446199,Bedok,0.5096997599910519,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,40.98333333333333,Bedok Point,0.3654525580424584,10.14141159151297
52 NEW UPP CHANGI RD,1.32390387200173,103.94251136649099,Tanah Merah,0.5802943690101763,BEDOK GREEN PRIMARY SCHOOL,1,TEMASEK PRIMARY SCHOOL,1,38.23333333333333,East Village,0.9644448692047852,11.042939855721588
512 BEDOK NTH AVE 2,1.33336715518927,103.92917767599899,Bedok Reservoir,0.5612763801105125,YU NENG PRIMARY SCHOOL,1,ST. HILDA'S PRIMARY SCHOOL,0,36.46666666666667,Djitsun Mall Bedok,0.8101344671494709,10.219260529515987
